Zeitstempel,Zeitstempel,Pegelstand [cm]
1940-11-13,1940-11-13,980.0
1940-11-14,1940-11-14,982.0
1940-11-15,1940-11-15,982.0
1940-11-16,1940-11-16,984.0
1940-11-17,1940-11-17,984.0
1940-11-18,1940-11-18,986.0
1940-11-19,1940-11-19,986.0
1940-11-20,1940-11-20,986.0
1940-11-21,1940-11-21,988.0
1940-11-22,1940-11-22,988.0
1940-11-23,1940-11-23,990.0
1940-11-24,1940-11-24,990.0
1940-11-25,1940-11-25,990.0
1940-11-26,1940-11-26,992.0
1940-11-27,1940-11-27,992.0
1940-11-28,1940-11-28,992.0
1940-11-29,1940-11-29,992.0
1940-11-30,1940-11-30,994.0
1940-12-01,1940-12-01,994.0
1940-12-02,1940-12-02,994.0
1940-12-03,1940-12-03,994.0
1940-12-04,1940-12-04,996.0
1940-12-05,1940-12-05,996.0
1940-12-06,1940-12-06,996.0
1940-12-07,1940-12-07,998.0
1940-12-08,1940-12-08,998.0
1940-12-09,1940-12-09,998.0
1940-12-10,1940-12-10,998.0
1940-12-11,1940-12-11,998.0
1940-12-12,1940-12-12,1000.0
1940-12-13,1940-12-13,1002.0
1940-12-14,1940-12-14,1002.0
1940-12-15,1940-12-15,1002.0
1940-12-16,1940-12-16,1002.0
1940-12-17,1940-12-17,1002.0
1940-12-18,1940-12-18,1002.0
1940-12-19,1940-12-19,1002.0
1940-12-20,1940-12-20,1002.0
1940-12-21,1940-12-21,1004.0
1940-12-22,1940-12-22,1004.0
1940-12-23,1940-12-23,1004.0
1940-12-24,1940-12-24,1006.0
1940-12-25,1940-12-25,1006.0
1940-12-26,1940-12-26,1006.0
1940-12-27,1940-12-27,1006.0
1940-12-28,1940-12-28,1006.0
1940-12-29,1940-12-29,1006.0
1940-12-30,1940-12-30,1008.0
1940-12-31,1940-12-31,1008.0
1941-01-01,1941-01-01,1008.0
1941-01-02,1941-01-02,1008.0
1941-01-03,1941-01-03,1008.0
1941-01-04,1941-01-04,1010.0
1941-01-05,1941-01-05,1010.0
1941-01-06,1941-01-06,1010.0
1941-01-07,1941-01-07,1010.0
1941-01-08,1941-01-08,1010.0
1941-01-09,1941-01-09,1010.0
1941-01-10,1941-01-10,1010.0
1941-01-11,1941-01-11,1010.0
1941-01-12,1941-01-12,1010.0
1941-01-13,1941-01-13,1010.0
1941-01-14,1941-01-14,1010.0
1941-01-15,1941-01-15,1010.0
1941-01-16,1941-01-16,1010.0
1941-01-17,1941-01-17,1010.0
1941-01-18,1941-01-18,1012.0
1941-01-19,1941-01-19,1012.0
1941-01-20,1941-01-20,1014.0
1941-01-21,1941-01-21,1014.0
1941-01-22,1941-01-22,1014.0
1941-01-23,1941-01-23,1014.0
1941-01-24,1941-01-24,1014.0
1941-01-25,1941-01-25,1014.0
1941-01-26,1941-01-26,1016.0
1941-01-27,1941-01-27,1016.0
1941-01-28,1941-01-28,1016.0
1941-01-29,1941-01-29,1016.0
1941-01-30,1941-01-30,1018.0
1941-01-31,1941-01-31,1018.0
1941-02-01,1941-02-01,1018.0
1941-02-02,1941-02-02,1018.0
1941-02-03,1941-02-03,1016.0
1941-02-04,1941-02-04,1018.0
1941-02-05,1941-02-05,1018.0
1941-02-06,1941-02-06,1018.0
1941-02-07,1941-02-07,1018.0
1941-02-08,1941-02-08,1018.0
1941-02-09,1941-02-09,1020.0
1941-02-10,1941-02-10,1020.0
1941-02-11,1941-02-11,1020.0
1941-02-12,1941-02-12,1020.0
1941-02-13,1941-02-13,1020.0
1941-02-14,1941-02-14,1020.0
1941-02-15,1941-02-15,1022.0
1941-02-16,1941-02-16,1022.0
1941-02-17,1941-02-17,1022.0
1941-02-18,1941-02-18,1024.0
1941-02-19,1941-02-19,1022.0
1941-02-20,1941-02-20,1024.0
1941-02-21,1941-02-21,1024.0
1941-02-22,1941-02-22,1024.0
1941-02-23,1941-02-23,1024.0
1941-02-24,1941-02-24,1024.0
1941-02-25,1941-02-25,1024.0
1941-02-26,1941-02-26,1024.0
1941-02-27,1941-02-27,1024.0
1941-02-28,1941-02-28,1024.0
1941-03-01,1941-03-01,1024.0
1941-03-02,1941-03-02,1024.0
1941-03-03,1941-03-03,1024.0
1941-03-04,1941-03-04,1024.0
1941-03-05,1941-03-05,1024.0
1941-03-06,1941-03-06,1024.0
1941-03-07,1941-03-07,1024.0
1941-03-08,1941-03-08,1024.0
1941-03-09,1941-03-09,1024.0
1941-03-10,1941-03-10,1024.0
1941-03-11,1941-03-11,1024.0
1941-03-12,1941-03-12,1024.0
1941-03-13,1941-03-13,1024.0
1941-03-14,1941-03-14,1024.0
1941-03-15,1941-03-15,1022.0
1941-03-16,1941-03-16,1022.0
1941-03-17,1941-03-17,1022.0
1941-03-18,1941-03-18,1024.0
1941-03-19,1941-03-19,1024.0
1941-03-20,1941-03-20,1022.0
1941-03-21,1941-03-21,1022.0
1941-03-22,1941-03-22,1022.0
1941-03-23,1941-03-23,1022.0
1941-03-24,1941-03-24,1020.0
1941-03-25,1941-03-25,1020.0
1941-03-26,1941-03-26,1020.0
1941-03-27,1941-03-27,1020.0
1941-03-28,1941-03-28,1020.0
1941-03-29,1941-03-29,1020.0
1941-03-30,1941-03-30,1022.0
1941-03-31,1941-03-31,1022.0
1941-04-01,1941-04-01,1022.0
1941-04-02,1941-04-02,1022.0
1941-04-03,1941-04-03,1022.0
1941-04-04,1941-04-04,1022.0
1941-04-05,1941-04-05,1022.0
1941-04-06,1941-04-06,1022.0
1941-04-07,1941-04-07,1022.0
1941-04-08,1941-04-08,1022.0
1941-04-09,1941-04-09,1022.0
1941-04-10,1941-04-10,1022.0
1941-04-11,1941-04-11,1022.0
1941-04-12,1941-04-12,1022.0
1941-04-13,1941-04-13,1022.0
1941-04-14,1941-04-14,1022.0
1941-04-15,1941-04-15,1022.0
1941-04-16,1941-04-16,1022.0
1941-04-17,1941-04-17,1022.0
1941-04-18,1941-04-18,1022.0
1941-04-19,1941-04-19,1022.0
1941-04-20,1941-04-20,1020.0
1941-04-21,1941-04-21,1020.0
1941-04-22,1941-04-22,1020.0
1941-04-23,1941-04-23,1020.0
1941-04-24,1941-04-24,1020.0
1941-04-25,1941-04-25,1018.0
1941-04-26,1941-04-26,1018.0
1941-04-27,1941-04-27,1016.0
1941-04-28,1941-04-28,1016.0
1941-04-29,1941-04-29,1016.0
1941-04-30,1941-04-30,1016.0
1941-05-01,1941-05-01,1014.0
1941-05-02,1941-05-02,1014.0
1941-05-03,1941-05-03,1014.0
1941-05-04,1941-05-04,1014.0
1941-05-05,1941-05-05,1014.0
1941-05-06,1941-05-06,1012.0
1941-05-07,1941-05-07,1012.0
1941-05-08,1941-05-08,1012.0
1941-05-09,1941-05-09,1012.0
1941-05-10,1941-05-10,1012.0
1941-05-11,1941-05-11,1012.0
1941-05-12,1941-05-12,1012.0
1941-05-13,1941-05-13,1012.0
1941-05-14,1941-05-14,1012.0
1941-05-15,1941-05-15,1012.0
1941-05-16,1941-05-16,1012.0
1941-05-17,1941-05-17,1010.0
1941-05-18,1941-05-18,1012.0
1941-05-19,1941-05-19,1012.0
1941-05-20,1941-05-20,1010.0
1941-05-21,1941-05-21,1012.0
1941-05-22,1941-05-22,1010.0
1941-05-23,1941-05-23,1010.0
1941-05-24,1941-05-24,1012.0
1941-05-25,1941-05-25,1014.0
1941-05-26,1941-05-26,1016.0
1941-05-27,1941-05-27,1014.0
1941-05-28,1941-05-28,1010.0
1941-05-29,1941-05-29,1012.0
1941-05-30,1941-05-30,1012.0
1941-05-31,1941-05-31,1012.0
1941-06-01,1941-06-01,1012.0
1941-06-02,1941-06-02,1012.0
1941-06-03,1941-06-03,1012.0
1941-06-04,1941-06-04,1012.0
1941-06-05,1941-06-05,1012.0
1941-06-06,1941-06-06,1012.0
1941-06-07,1941-06-07,1012.0
1941-06-08,1941-06-08,1012.0
1941-06-09,1941-06-09,1012.0
1941-06-10,1941-06-10,1012.0
1941-06-11,1941-06-11,1012.0
1941-06-12,1941-06-12,1012.0
1941-06-13,1941-06-13,1012.0
1941-06-14,1941-06-14,1012.0
1941-06-15,1941-06-15,1012.0
1941-06-16,1941-06-16,1012.0
1941-06-17,1941-06-17,1010.0
1941-06-18,1941-06-18,1010.0
1941-06-19,1941-06-19,1010.0
1941-06-20,1941-06-20,1010.0
1941-06-21,1941-06-21,1010.0
1941-06-22,1941-06-22,1010.0
1941-06-23,1941-06-23,1010.0
1941-06-24,1941-06-24,1008.0
1941-06-25,1941-06-25,1008.0
1941-06-26,1941-06-26,1008.0
1941-06-27,1941-06-27,1008.0
1941-06-28,1941-06-28,1008.0
1941-06-29,1941-06-29,1008.0
1941-06-30,1941-06-30,1008.0
1941-07-01,1941-07-01,1008.0
1941-07-02,1941-07-02,1008.0
1941-07-03,1941-07-03,1008.0
1941-07-04,1941-07-04,1008.0
1941-07-05,1941-07-05,1008.0
1941-07-06,1941-07-06,1006.0
1941-07-07,1941-07-07,1006.0
1941-07-08,1941-07-08,1006.0
1941-07-09,1941-07-09,1006.0
1941-07-10,1941-07-10,1006.0
1941-07-11,1941-07-11,1006.0
1941-07-12,1941-07-12,1006.0
1941-07-13,1941-07-13,1006.0
1941-07-14,1941-07-14,1008.0
1941-07-15,1941-07-15,1006.0
1941-07-16,1941-07-16,1006.0
1941-07-17,1941-07-17,1006.0
1941-07-18,1941-07-18,1006.0
1941-07-19,1941-07-19,1006.0
1941-07-20,1941-07-20,1006.0
1941-07-21,1941-07-21,1006.0
1941-07-22,1941-07-22,1006.0
1941-07-23,1941-07-23,1006.0
1941-07-24,1941-07-24,1006.0
1941-07-25,1941-07-25,1004.0
1941-07-26,1941-07-26,1004.0
1941-07-27,1941-07-27,1004.0
1941-07-28,1941-07-28,1002.0
1941-07-29,1941-07-29,1004.0
1941-07-30,1941-07-30,1000.0
1941-07-31,1941-07-31,1000.0
1941-08-01,1941-08-01,1000.0
1941-08-02,1941-08-02,1000.0
1941-08-03,1941-08-03,998.0
1941-08-04,1941-08-04,998.0
1941-08-05,1941-08-05,996.0
1941-08-06,1941-08-06,996.0
1941-08-07,1941-08-07,996.0
1941-08-08,1941-08-08,994.0
1941-08-09,1941-08-09,994.0
1941-08-10,1941-08-10,992.0
1941-08-11,1941-08-11,992.0
1941-08-12,1941-08-12,992.0
1941-08-13,1941-08-13,990.0
1941-08-14,1941-08-14,990.0
1941-08-15,1941-08-15,990.0
1941-08-16,1941-08-16,988.0
1941-08-17,1941-08-17,988.0
1941-08-18,1941-08-18,988.0
1941-08-19,1941-08-19,986.0
1941-08-20,1941-08-20,986.0
1941-08-21,1941-08-21,986.0
1941-08-22,1941-08-22,986.0
1941-08-23,1941-08-23,984.0
1941-08-24,1941-08-24,984.0
1941-08-25,1941-08-25,984.0
1941-08-26,1941-08-26,984.0
1941-08-27,1941-08-27,982.0
1941-08-28,1941-08-28,982.0
1941-08-29,1941-08-29,980.0
1941-08-30,1941-08-30,980.0
1941-08-31,1941-08-31,980.0
1941-09-01,1941-09-01,980.0
1941-09-02,1941-09-02,978.0
1941-09-03,1941-09-03,978.0
1941-09-04,1941-09-04,978.0
1941-09-05,1941-09-05,978.0
1941-09-06,1941-09-06,976.0
1941-09-07,1941-09-07,978.0
1941-09-08,1941-09-08,976.0
1941-09-09,1941-09-09,976.0
1941-09-10,1941-09-10,976.0
1941-09-11,1941-09-11,976.0
1941-09-12,1941-09-12,976.0
1941-09-13,1941-09-13,976.0
1941-09-14,1941-09-14,976.0
1941-09-15,1941-09-15,974.0
1941-09-16,1941-09-16,974.0
1941-09-17,1941-09-17,976.0
1941-09-18,1941-09-18,976.0
1941-09-19,1941-09-19,976.0
1941-09-20,1941-09-20,976.0
1941-09-21,1941-09-21,976.0
1941-09-22,1941-09-22,976.0
1941-09-23,1941-09-23,976.0
1941-09-24,1941-09-24,976.0
1941-09-25,1941-09-25,976.0
1941-09-26,1941-09-26,976.0
1941-09-27,1941-09-27,976.0
1941-09-28,1941-09-28,976.0
1941-09-29,1941-09-29,976.0
1941-09-30,1941-09-30,976.0
1941-10-01,1941-10-01,976.0
1941-10-02,1941-10-02,976.0
1941-10-03,1941-10-03,976.0
1941-10-04,1941-10-04,976.0
1941-10-05,1941-10-05,976.0
1941-10-06,1941-10-06,976.0
1941-10-07,1941-10-07,976.0
1941-10-08,1941-10-08,976.0
1941-10-09,1941-10-09,976.0
1941-10-10,1941-10-10,976.0
1941-10-11,1941-10-11,976.0
1941-10-12,1941-10-12,976.0
1941-10-13,1941-10-13,976.0
1941-10-14,1941-10-14,974.0
1941-10-15,1941-10-15,974.0
1941-10-16,1941-10-16,974.0
1941-10-17,1941-10-17,974.0
1941-10-18,1941-10-18,972.0
1941-10-19,1941-10-19,972.0
1941-10-20,1941-10-20,972.0
1941-10-21,1941-10-21,972.0
1941-10-22,1941-10-22,970.0
1941-10-23,1941-10-23,970.0
1941-10-24,1941-10-24,970.0
1941-10-25,1941-10-25,968.0
1941-10-26,1941-10-26,968.0
1941-10-27,1941-10-27,968.0
1941-10-28,1941-10-28,968.0
1941-10-29,1941-10-29,968.0
1941-10-30,1941-10-30,966.0
1941-10-31,1941-10-31,966.0
1941-11-01,1941-11-01,966.0
1941-11-02,1941-11-02,964.0
1941-11-03,1941-11-03,964.0
1941-11-04,1941-11-04,964.0
1941-11-05,1941-11-05,964.0
1941-11-06,1941-11-06,962.0
1941-11-07,1941-11-07,962.0
1941-11-08,1941-11-08,960.0
1941-11-09,1941-11-09,960.0
1941-11-10,1941-11-10,960.0
1941-11-11,1941-11-11,958.0
1941-11-12,1941-11-12,958.0
1941-11-13,1941-11-13,958.0
1941-11-14,1941-11-14,958.0
1941-11-15,1941-11-15,956.0
1941-11-16,1941-11-16,956.0
1941-11-17,1941-11-17,956.0
1941-11-18,1941-11-18,956.0
1941-11-19,1941-11-19,956.0
1941-11-20,1941-11-20,954.0
1941-11-21,1941-11-21,954.0
1941-11-22,1941-11-22,954.0
1941-11-23,1941-11-23,952.0
1941-11-24,1941-11-24,954.0
1941-11-25,1941-11-25,952.0
1941-11-26,1941-11-26,952.0
1941-11-27,1941-11-27,952.0
1941-11-28,1941-11-28,952.0
1941-11-29,1941-11-29,952.0
1941-11-30,1941-11-30,952.0
1941-12-01,1941-12-01,952.0
1941-12-02,1941-12-02,950.0
1941-12-03,1941-12-03,950.0
1941-12-04,1941-12-04,950.0
1941-12-05,1941-12-05,950.0
1941-12-06,1941-12-06,950.0
1941-12-07,1941-12-07,950.0
1941-12-08,1941-12-08,950.0
1941-12-09,1941-12-09,950.0
1941-12-10,1941-12-10,950.0
1941-12-11,1941-12-11,950.0
1941-12-12,1941-12-12,950.0
1941-12-13,1941-12-13,950.0
1941-12-14,1941-12-14,950.0
1941-12-15,1941-12-15,950.0
1941-12-16,1941-12-16,950.0
1941-12-17,1941-12-17,950.0
1941-12-18,1941-12-18,950.0
1941-12-19,1941-12-19,950.0
1941-12-20,1941-12-20,948.0
1941-12-21,1941-12-21,950.0
1941-12-22,1941-12-22,948.0
1941-12-23,1941-12-23,948.0
1941-12-24,1941-12-24,948.0
1941-12-25,1941-12-25,948.0
1941-12-26,1941-12-26,948.0
1941-12-27,1941-12-27,946.0
1941-12-28,1941-12-28,946.0
1941-12-29,1941-12-29,946.0
1941-12-30,1941-12-30,946.0
1941-12-31,1941-12-31,944.0
1942-01-01,1942-01-01,944.0
1942-01-02,1942-01-02,944.0
1942-01-03,1942-01-03,944.0
1942-01-04,1942-01-04,944.0
1942-01-05,1942-01-05,944.0
1942-01-06,1942-01-06,942.0
1942-01-07,1942-01-07,942.0
1942-01-08,1942-01-08,942.0
1942-01-09,1942-01-09,940.0
1942-01-10,1942-01-10,942.0
1942-01-11,1942-01-11,940.0
1942-01-12,1942-01-12,940.0
1942-01-13,1942-01-13,940.0
1942-01-14,1942-01-14,940.0
1942-01-15,1942-01-15,940.0
1942-01-16,1942-01-16,938.0
1942-01-17,1942-01-17,938.0
1942-01-18,1942-01-18,938.0
1942-01-19,1942-01-19,938.0
1942-01-20,1942-01-20,938.0
1942-01-21,1942-01-21,936.0
1942-01-22,1942-01-22,936.0
1942-01-23,1942-01-23,936.0
1942-01-24,1942-01-24,934.0
1942-01-25,1942-01-25,934.0
1942-01-26,1942-01-26,934.0
1942-01-27,1942-01-27,934.0
1942-01-28,1942-01-28,934.0
1942-01-29,1942-01-29,932.0
1942-01-30,1942-01-30,932.0
1942-01-31,1942-01-31,932.0
1942-02-01,1942-02-01,930.0
1942-02-02,1942-02-02,930.0
1942-02-03,1942-02-03,930.0
1942-02-04,1942-02-04,930.0
1942-02-05,1942-02-05,928.0
1942-02-06,1942-02-06,928.0
1942-02-07,1942-02-07,928.0
1942-02-08,1942-02-08,926.0
1942-02-09,1942-02-09,924.0
1942-02-10,1942-02-10,924.0
1942-02-11,1942-02-11,924.0
1942-02-12,1942-02-12,922.0
1942-02-13,1942-02-13,922.0
1942-02-14,1942-02-14,922.0
1942-02-15,1942-02-15,920.0
1942-02-16,1942-02-16,920.0
1942-02-17,1942-02-17,918.0
1942-02-18,1942-02-18,918.0
1942-02-19,1942-02-19,916.0
1942-02-20,1942-02-20,916.0
1942-02-21,1942-02-21,916.0
1942-02-22,1942-02-22,916.0
1942-02-23,1942-02-23,914.0
1942-02-24,1942-02-24,912.0
1942-02-25,1942-02-25,912.0
1942-02-26,1942-02-26,912.0
1942-02-27,1942-02-27,912.0
1942-02-28,1942-02-28,910.0
1942-03-01,1942-03-01,910.0
1942-03-02,1942-03-02,908.0
1942-03-03,1942-03-03,908.0
1942-03-04,1942-03-04,908.0
1942-03-05,1942-03-05,908.0
1942-03-06,1942-03-06,906.0
1942-03-07,1942-03-07,908.0
1942-03-08,1942-03-08,906.0
1942-03-09,1942-03-09,906.0
1942-03-10,1942-03-10,906.0
1942-03-11,1942-03-11,904.0
1942-03-12,1942-03-12,904.0
1942-03-13,1942-03-13,904.0
1942-03-14,1942-03-14,906.0
1942-03-15,1942-03-15,904.0
1942-03-16,1942-03-16,904.0
1942-03-17,1942-03-17,904.0
1942-03-18,1942-03-18,904.0
1942-03-19,1942-03-19,904.0
1942-03-20,1942-03-20,904.0
1942-03-21,1942-03-21,904.0
1942-03-22,1942-03-22,904.0
1942-03-23,1942-03-23,904.0
1942-03-24,1942-03-24,904.0
1942-03-25,1942-03-25,904.0
1942-03-26,1942-03-26,904.0
1942-03-27,1942-03-27,904.0
1942-03-28,1942-03-28,904.0
1942-03-29,1942-03-29,904.0
1942-03-30,1942-03-30,904.0
1942-03-31,1942-03-31,904.0
1942-04-01,1942-04-01,904.0
1942-04-02,1942-04-02,904.0
1942-04-03,1942-04-03,904.0
1942-04-04,1942-04-04,904.0
1942-04-05,1942-04-05,904.0
1942-04-06,1942-04-06,904.0
1942-04-07,1942-04-07,904.0
1942-04-08,1942-04-08,904.0
1942-04-09,1942-04-09,904.0
1942-04-10,1942-04-10,904.0
1942-04-11,1942-04-11,906.0
1942-04-12,1942-04-12,902.0
1942-04-13,1942-04-13,902.0
1942-04-14,1942-04-14,902.0
1942-04-15,1942-04-15,902.0
1942-04-16,1942-04-16,902.0
1942-04-17,1942-04-17,904.0
1942-04-18,1942-04-18,904.0
1942-04-19,1942-04-19,904.0
1942-04-20,1942-04-20,904.0
1942-04-21,1942-04-21,904.0
1942-04-22,1942-04-22,904.0
1942-04-23,1942-04-23,904.0
1942-04-24,1942-04-24,902.0
1942-04-25,1942-04-25,902.0
1942-04-26,1942-04-26,902.0
1942-04-27,1942-04-27,902.0
1942-04-28,1942-04-28,902.0
1942-04-29,1942-04-29,902.0
1942-04-30,1942-04-30,900.0
1942-05-01,1942-05-01,900.0
1942-05-02,1942-05-02,900.0
1942-05-03,1942-05-03,900.0
1942-05-04,1942-05-04,900.0
1942-05-05,1942-05-05,900.0
1942-05-06,1942-05-06,898.0
1942-05-07,1942-05-07,898.0
1942-05-08,1942-05-08,898.0
1942-05-09,1942-05-09,898.0
1942-05-10,1942-05-10,898.0
1942-05-11,1942-05-11,896.0
1942-05-12,1942-05-12,896.0
1942-05-13,1942-05-13,896.0
1942-05-14,1942-05-14,896.0
1942-05-15,1942-05-15,894.0
1942-05-16,1942-05-16,894.0
1942-05-17,1942-05-17,894.0
1942-05-18,1942-05-18,894.0
1942-05-19,1942-05-19,892.0
1942-05-20,1942-05-20,894.0
1942-05-21,1942-05-21,892.0
1942-05-22,1942-05-22,892.0
1942-05-23,1942-05-23,890.0
1942-05-24,1942-05-24,890.0
1942-05-25,1942-05-25,890.0
1942-05-26,1942-05-26,890.0
1942-05-27,1942-05-27,888.0
1942-05-28,1942-05-28,888.0
1942-05-29,1942-05-29,888.0
1942-05-30,1942-05-30,888.0
1942-05-31,1942-05-31,888.0
1942-06-01,1942-06-01,888.0
1942-06-02,1942-06-02,888.0
1942-06-03,1942-06-03,886.0
1942-06-04,1942-06-04,886.0
1942-06-05,1942-06-05,886.0
1942-06-06,1942-06-06,886.0
1942-06-07,1942-06-07,886.0
1942-06-08,1942-06-08,884.0
1942-06-09,1942-06-09,886.0
1942-06-10,1942-06-10,884.0
1942-06-11,1942-06-11,884.0
1942-06-12,1942-06-12,884.0
1942-06-13,1942-06-13,884.0
1942-06-14,1942-06-14,882.0
1942-06-15,1942-06-15,882.0
1942-06-16,1942-06-16,882.0
1942-06-17,1942-06-17,882.0
1942-06-18,1942-06-18,880.0
1942-06-19,1942-06-19,880.0
1942-06-20,1942-06-20,880.0
1942-06-21,1942-06-21,880.0
1942-06-22,1942-06-22,880.0
1942-06-23,1942-06-23,880.0
1942-06-24,1942-06-24,880.0
1942-06-25,1942-06-25,878.0
1942-06-26,1942-06-26,878.0
1942-06-27,1942-06-27,878.0
1942-06-28,1942-06-28,878.0
1942-06-29,1942-06-29,878.0
1942-06-30,1942-06-30,876.0
1942-07-01,1942-07-01,876.0
1942-07-02,1942-07-02,876.0
1942-07-03,1942-07-03,876.0
1942-07-04,1942-07-04,876.0
1942-07-05,1942-07-05,876.0
1942-07-06,1942-07-06,876.0
1942-07-07,1942-07-07,876.0
1942-07-08,1942-07-08,876.0
1942-07-09,1942-07-09,876.0
1942-07-10,1942-07-10,876.0
1942-07-11,1942-07-11,876.0
1942-07-12,1942-07-12,876.0
1942-07-13,1942-07-13,876.0
1942-07-14,1942-07-14,876.0
1942-07-15,1942-07-15,876.0
1942-07-16,1942-07-16,876.0
1942-07-17,1942-07-17,876.0
1942-07-18,1942-07-18,876.0
1942-07-19,1942-07-19,876.0
1942-07-20,1942-07-20,876.0
1942-07-21,1942-07-21,874.0
1942-07-22,1942-07-22,876.0
1942-07-23,1942-07-23,876.0
1942-07-24,1942-07-24,876.0
1942-07-25,1942-07-25,876.0
1942-07-26,1942-07-26,876.0
1942-07-27,1942-07-27,876.0
1942-07-28,1942-07-28,874.0
1942-07-29,1942-07-29,874.0
1942-07-30,1942-07-30,874.0
1942-07-31,1942-07-31,874.0
1942-08-01,1942-08-01,874.0
1942-08-02,1942-08-02,874.0
1942-08-03,1942-08-03,874.0
1942-08-04,1942-08-04,874.0
1942-08-05,1942-08-05,872.0
1942-08-06,1942-08-06,872.0
1942-08-07,1942-08-07,870.0
1942-08-08,1942-08-08,870.0
1942-08-09,1942-08-09,870.0
1942-08-10,1942-08-10,870.0
1942-08-11,1942-08-11,868.0
1942-08-12,1942-08-12,868.0
1942-08-13,1942-08-13,868.0
1942-08-14,1942-08-14,866.0
1942-08-15,1942-08-15,866.0
1942-08-16,1942-08-16,866.0
1942-08-17,1942-08-17,864.0
1942-08-18,1942-08-18,864.0
1942-08-19,1942-08-19,864.0
1942-08-20,1942-08-20,862.0
1942-08-21,1942-08-21,862.0
1942-08-22,1942-08-22,862.0
1942-08-23,1942-08-23,862.0
1942-08-24,1942-08-24,860.0
1942-08-25,1942-08-25,860.0
1942-08-26,1942-08-26,860.0
1942-08-27,1942-08-27,860.0
1942-08-28,1942-08-28,858.0
1942-08-29,1942-08-29,858.0
1942-08-30,1942-08-30,858.0
1942-08-31,1942-08-31,858.0
1942-09-01,1942-09-01,854.0
1942-09-02,1942-09-02,854.0
1942-09-03,1942-09-03,854.0
1942-09-04,1942-09-04,854.0
1942-09-05,1942-09-05,854.0
1942-09-06,1942-09-06,854.0
1942-09-07,1942-09-07,854.0
1942-09-08,1942-09-08,854.0
1942-09-09,1942-09-09,854.0
1942-09-10,1942-09-10,854.0
1942-09-11,1942-09-11,854.0
1942-09-12,1942-09-12,854.0
1942-09-13,1942-09-13,852.0
1942-09-14,1942-09-14,852.0
1942-09-15,1942-09-15,852.0
1942-09-16,1942-09-16,852.0
1942-09-17,1942-09-17,852.0
1942-09-18,1942-09-18,852.0
1942-09-19,1942-09-19,852.0
1942-09-20,1942-09-20,850.0
1942-09-21,1942-09-21,850.0
1942-09-22,1942-09-22,850.0
1942-09-23,1942-09-23,850.0
1942-09-24,1942-09-24,850.0
1942-09-25,1942-09-25,850.0
1942-09-26,1942-09-26,848.0
1942-09-27,1942-09-27,848.0
1942-09-28,1942-09-28,848.0
1942-09-29,1942-09-29,846.0
1942-09-30,1942-09-30,846.0
1942-10-01,1942-10-01,846.0
1942-10-02,1942-10-02,846.0
1942-10-03,1942-10-03,846.0
1942-10-04,1942-10-04,846.0
1942-10-05,1942-10-05,846.0
1942-10-06,1942-10-06,844.0
1942-10-07,1942-10-07,844.0
1942-10-08,1942-10-08,844.0
1942-10-09,1942-10-09,844.0
1942-10-10,1942-10-10,844.0
1942-10-11,1942-10-11,844.0
1942-10-12,1942-10-12,844.0
1942-10-13,1942-10-13,844.0
1942-10-14,1942-10-14,844.0
1942-10-15,1942-10-15,842.0
1942-10-16,1942-10-16,842.0
1942-10-17,1942-10-17,842.0
1942-10-18,1942-10-18,842.0
1942-10-19,1942-10-19,842.0
1942-10-20,1942-10-20,844.0
1942-10-21,1942-10-21,842.0
1942-10-22,1942-10-22,842.0
1942-10-23,1942-10-23,842.0
1942-10-24,1942-10-24,842.0
1942-10-25,1942-10-25,842.0
1942-10-26,1942-10-26,842.0
1942-10-27,1942-10-27,842.0
1942-10-28,1942-10-28,844.0
1942-10-29,1942-10-29,844.0
1942-10-30,1942-10-30,844.0
1942-10-31,1942-10-31,842.0
1942-11-01,1942-11-01,842.0
1942-11-02,1942-11-02,842.0
1942-11-03,1942-11-03,842.0
1942-11-04,1942-11-04,842.0
1942-11-05,1942-11-05,842.0
1942-11-06,1942-11-06,842.0
1942-11-07,1942-11-07,842.0
1942-11-08,1942-11-08,842.0
1942-11-09,1942-11-09,842.0
1942-11-10,1942-11-10,842.0
1942-11-11,1942-11-11,842.0
1942-11-12,1942-11-12,842.0
1942-11-13,1942-11-13,842.0
1942-11-14,1942-11-14,842.0
1942-11-15,1942-11-15,844.0
1942-11-16,1942-11-16,840.0
1942-11-17,1942-11-17,840.0
1942-11-18,1942-11-18,840.0
1942-11-19,1942-11-19,840.0
1942-11-20,1942-11-20,840.0
1942-11-21,1942-11-21,840.0
1942-11-22,1942-11-22,840.0
1942-11-23,1942-11-23,840.0
1942-11-24,1942-11-24,838.0
1942-11-25,1942-11-25,838.0
1942-11-26,1942-11-26,838.0
1942-11-27,1942-11-27,838.0
1942-11-28,1942-11-28,838.0
1942-11-29,1942-11-29,838.0
1942-11-30,1942-11-30,838.0
1942-12-01,1942-12-01,836.0
1942-12-02,1942-12-02,836.0
1942-12-03,1942-12-03,836.0
1942-12-04,1942-12-04,836.0
1942-12-05,1942-12-05,834.0
1942-12-06,1942-12-06,834.0
1942-12-07,1942-12-07,834.0
1942-12-08,1942-12-08,834.0
1942-12-09,1942-12-09,834.0
1942-12-10,1942-12-10,834.0
1942-12-11,1942-12-11,834.0
1942-12-12,1942-12-12,834.0
1942-12-13,1942-12-13,834.0
1942-12-14,1942-12-14,832.0
1942-12-15,1942-12-15,832.0
